Region,Disease,Temperature,Humidity,Precipitation,Mobility,Socioeconomic_Status,Outbreak,Health_Advisory,Latitude,Longitude,Date
Region_7,COVID-19,31.32967973,59.76730165,7.357783344,0.701272985,4,1,Vaccination drive ongoing,43.41651117,157.6334536,01-01-2020 00:00
Region_4,Dengue,23.72631061,55.85523386,163.0542183,0.646282145,7,0,Use mosquito nets,-74.92517888,26.0382014,01-01-2020 01:00
Region_8,COVID-19,39.15564314,87.26187693,25.65102242,0.178373663,5,1,Stay indoors,-32.00139817,50.99505494,01-01-2020 02:00
Region_5,Flu,35.04048715,42.34348965,73.60775982,0.968690777,1,0,Vaccination drive ongoing,77.80029081,28.43655708,01-01-2020 03:00
Region_7,Dengue,30.76044046,48.70099541,95.43552182,0.354025593,2,0,Wash hands frequently,-8.981779356,102.5490814,01-01-2020 04:00
Region_10,Flu,22.32313009,48.46756533,86.49600008,0.329286974,6,0,Avoid crowded places,-41.41831515,-81.57373398,01-01-2020 05:00
Region_3,Flu,24.33850741,47.34038008,145.1331527,0.369161544,9,0,Vaccination drive ongoing,-4.238603673,103.6972211,01-01-2020 06:00
Region_7,COVID-19,31.7492481,58.11228271,119.3553192,0.091719615,7,1,Use mosquito nets,-38.05387006,76.87642726,01-01-2020 07:00
Region_8,COVID-19,16.79952046,89.350754,59.07423654,0.624963517,4,1,Wash hands frequently,48.28696058,36.74382377,01-01-2020 08:00
Region_5,Flu,21.41701479,83.327206,10.34059997,0.238624244,2,0,Stay indoors,63.10891564,-166.0349721,01-01-2020 09:00
Region_4,Flu,32.84752333,49.6769741,153.5190237,0.803312756,4,0,Wash hands frequently,50.87848451,98.83582987,01-01-2020 10:00
Region_8,Dengue,27.00046275,55.37220694,70.50542534,0.39415618,5,1,Vaccination drive ongoing,-63.17152978,-132.3266569,01-01-2020 11:00
Region_8,COVID-19,25.05983912,70.16884478,177.9449482,0.458558482,2,0,Use mosquito nets,-29.50971018,166.3098923,01-01-2020 12:00
Region_3,Dengue,18.78644056,31.02910084,79.01135472,0.646422054,1,0,Wash hands frequently,-51.4852164,-150.6624836,01-01-2020 13:00
Region_6,Dengue,26.04622586,79.20921952,143.5317212,0.761871134,4,0,Wash hands frequently,-82.29615861,79.29920872,01-01-2020 14:00
Region_5,Dengue,34.26729927,82.78788344,187.9129406,0.231115305,6,0,Avoid crowded places,43.05157644,-50.24675388,01-01-2020 15:00
Region_2,Flu,21.60032115,81.43202006,130.2304901,0.96629433,1,0,Avoid crowded places,-12.89527534,84.84854116,01-01-2020 16:00
Region_8,Dengue,15.13496355,52.50326321,82.69778268,0.622321546,1,0,Vaccination drive ongoing,-40.20784404,6.822975948,01-01-2020 17:00
Region_6,Dengue,31.71262253,57.71997044,113.4798538,0.005638624,9,0,Stay indoors,-34.64504853,46.62188311,01-01-2020 18:00
Region_2,Flu,39.31566511,30.74329931,108.6890377,0.41562221,5,1,Stay indoors,-65.69703653,-152.8427734,01-01-2020 19:00
Region_5,COVID-19,30.17066409,53.96372088,116.9640073,0.436817821,2,0,Use mosquito nets,58.81691402,167.9324733,01-01-2020 20:00
Region_1,COVID-19,17.99804647,57.62560934,29.36399713,0.809164976,2,0,Vaccination drive ongoing,-64.09359255,-178.6152687,01-01-2020 21:00
Region_10,Dengue,23.01832731,84.41845758,139.7019765,0.305139774,4,0,Stay indoors,-29.10306827,158.8174022,01-01-2020 22:00
Region_6,Flu,36.69104037,83.63926043,29.00865433,0.331226516,2,1,Wash hands frequently,-88.67017182,24.57006908,01-01-2020 23:00
Region_9,COVID-19,20.81420186,87.96582385,2.923376864,0.070494093,4,0,Vaccination drive ongoing,-11.44592456,-87.02274648,02-01-2020 00:00
Region_1,Dengue,30.19239759,83.10629911,124.9560201,0.283546025,6,0,Wash hands frequently,-26.13589744,49.58199708,02-01-2020 01:00
Region_10,Dengue,25.06678021,30.49204257,23.38271444,0.716961701,7,1,Use mosquito nets,39.43836125,62.24296873,02-01-2020 02:00
Region_3,Flu,20.19609304,68.48765114,154.0823273,0.63475692,6,0,Vaccination drive ongoing,38.75645371,82.91939216,02-01-2020 03:00
Region_7,Dengue,35.33517234,34.09426099,173.1931907,0.081394088,4,0,Use mosquito nets,-83.04637825,-174.0824084,02-01-2020 04:00
Region_4,COVID-19,33.57078191,46.35565718,188.9473581,0.114693892,3,1,Avoid crowded places,-69.14449413,173.8016654,02-01-2020 05:00
Region_9,Flu,31.53977665,64.69845777,132.8953926,0.376925964,4,0,Use mosquito nets,72.83268119,42.44865648,02-01-2020 06:00
Region_3,COVID-19,20.90841476,72.0368291,96.40297858,0.743757762,5,0,Avoid crowded places,52.52369954,-44.08696876,02-01-2020 07:00
Region_5,COVID-19,17.44642507,69.27792156,70.45621614,0.832918278,4,0,Vaccination drive ongoing,-19.8927194,25.43413804,02-01-2020 08:00
Region_3,COVID-19,29.40398325,32.94350204,98.1850188,0.014624043,3,1,Wash hands frequently,-60.05259293,-115.7681438,02-01-2020 09:00
Region_7,Dengue,28.84194584,36.21623217,38.07044567,0.329010577,1,0,Wash hands frequently,-43.05936837,-90.98404172,02-01-2020 10:00
Region_5,Dengue,19.70962523,37.71520878,69.68452956,0.424261864,3,1,Wash hands frequently,28.44480303,-149.1193789,02-01-2020 11:00
Region_9,COVID-19,16.40616736,35.48486261,143.586105,0.911132811,5,1,Use mosquito nets,80.18873751,136.524113,02-01-2020 12:00
Region_7,COVID-19,17.01771135,40.6940654,43.48459423,0.501406558,6,0,Vaccination drive ongoing,20.83285495,-89.42395855,02-01-2020 13:00
Region_2,Flu,39.81927466,71.30926748,52.81342713,0.269700765,4,1,Vaccination drive ongoing,-85.23979167,86.29576918,02-01-2020 14:00
Region_4,Flu,34.58959737,79.85023507,149.8656511,0.390047065,1,0,Avoid crowded places,27.12926288,-81.28847419,02-01-2020 15:00
Region_9,Dengue,38.0496869,54.5288334,35.56718717,0.436434441,7,0,Vaccination drive ongoing,80.05529572,-127.4440862,02-01-2020 16:00
Region_2,Dengue,19.87636806,71.56689039,49.17751729,0.669995874,9,0,Wash hands frequently,-25.44461781,-141.0715906,02-01-2020 17:00
Region_10,Flu,39.01421341,42.00097568,3.509512565,0.041087783,6,0,Vaccination drive ongoing,78.04002222,129.6879663,02-01-2020 18:00
Region_9,COVID-19,18.56635879,88.3968091,144.0103199,0.389451663,6,0,Avoid crowded places,30.71156854,-136.8947575,02-01-2020 19:00
Region_10,Dengue,27.72704571,50.99985137,123.5807131,0.646554637,9,0,Vaccination drive ongoing,-55.82961313,-148.6262941,02-01-2020 20:00
Region_5,COVID-19,35.74239211,80.75201437,138.8770905,0.283322315,4,0,Vaccination drive ongoing,-63.84499432,-176.6322772,02-01-2020 21:00
